ITEM,LOCATION,BASTI-QUEST,LÖSUNG,KOORDINATEN
Oak Leaves,Parque Eduardo VII,"Welcher autistische Builder hat denn hier seinen ""Garten"" gebaut… Junge sieht das crazy aus… Könnte man sich fast drin verlaufen… Was glaubst du, wenn das mit quadratischen Leave Blöcken gebaut wurde, wie viele Blöcke sind dann jeweils maximal direkt anliegend nebeneinander platziert, wenn du in Richtung Säule schaust?",Eingabe: 4 (Blöcke),http://example.com/image/0
Honey Bottle,Biene LX Factory,"Hier im riesigen Kunst Areal der LX Factory hab ich öfters mal ein paar Bienchen rumfliegen sehen. Wenn du es schafft sie zu streicheln ohne gestochen zu werden, gibt sie dir ja vielleicht etwas Honig… Wenn du ein Beweisbild machst, gebe ich dir eine ganze Flasche!",Foto,http://example.com/image/1
Elytra,Bücherei Le Devagar Fahrrad,"Achtung, Achtung! Nicht erschrecken: In diesem Möchte-Gern-Stronghold wohnt ein etwas zurückgebliebener Villager, der seine Elytra auf eine seeeehr unkonventionelle Weise benutzt… naja… kannst du zumindest erkennen welche Farbe seine Elytra hat?","Choice: beige (!), lila, weiß",http://example.com/image/2
Glass Pane,Village Underground,"Okayyy… das muss wieder ein sehhhr verrückter Craft Attack Build sein. Absolut trippy. Warum baut man einen Bus, um ihn dann auf einen Container zu stellen hahahah!? Ist das überhaupt akkurat? Wie viele Fenster, die jeweils in einen schwarzen Rahmen gefasst sind, hat der eine Bus überhaupt (ohne Türen)?",Eingabe: 31 (Fenster),http://example.com/image/6
Stone Sword,PADRÃO Dos Descobrimentos,"Unseres heutigen Wissenstandes nach, wurden die Villager mit der Evolution immer kleiner und keiner und mit ihnen auch ihre Tools. Hier ist ein antikes Überbleibsel unserer Vorfahren. Da sind wohl einige modernere Villager so schockiert gewesen, dass sie ebenfalls zu Stein erstarrt sind. Was hält denn der oberste von ihnen in der Hand?","Choice: Schale, Baby, Schiff (!)",http://example.com/image/7
Boat,Promenade,"So jetzt lass uns schnell über den Ocean traveln, schnapp dir ein Boot und los gehts. Der Hafen hier ist so fett, hier steht safe eins rum, was dir passt. Mach ein Bild von einem Boot, das du willst und ich bau es dir nach, kein Ding!",Foto,http://example.com/image/8
Birch Sapling,Green Street,"Wow, hier hat wohl irgendein Spieler mal schnell sein Inventar ausgemüllt und vergessen die ganzen Saplings vorher anzuzünden… Kein Wunder, dass es dann so aussieht, einfach ein halbes Biom erschaffen. Kannst du eine der Pflanzen identifizieren? Im Gegenzug drop ich dir dann meinen Inventar-Müll, aka. Birken Setzlinge, haha.",Foto,http://example.com/image/9
Diamond,Bordallo 2 Fuchs,"Die Tiere hier zerstören mir jedes Mal den Run. Vorallem die Füchse, die sich die Items klauen, wenn du nur eine Sekunde unaufmerksam bist und was liegen lässt. Einer von denen hat mir einfach mal nen Diamant geklaut… also falls du mal einen brauchen solltest, am besten suchst du dort… Manchmal lassen sie ein Item los, wenn man sie mit etwas leckerem zu essen lockt… Mach ein Bild, ich hoffe du schaffst es einen zu zähmen!",Foto,http://example.com/image/10
Apple,Mercado de Ribeira,"Challenge: Riesengroßer Markt, Handelsmöglichkeiten weit und breit, aber keine Emeralds in der Tasche… Schaff einen Apfel heran und stärke dich mit Beweisbild!",Foto,http://example.com/image/11
Pink Concrete,Pink Street Tunnel,"Was ist denn hier passiert, war da irgend jemand farbenblind als er diesen Weg gebaut hat? Wenn ein Block ein Schritt ist, wie viele Pink Concrete Blöcke ist der Weg dann wohl breit?","Choice: 2 Blöcke, 4 Blöcke, 6 Blöcke (!)",http://example.com/image/12
Copper Ingot,La Brasiliera,"Die Legende besagt, dieser Villager hat so viele Zombies getötet und sein Dorf besser beschützt als jeder Eisengolem, dass die Bewohner ihn aus Kupfer nachgebaut haben. Wie hieß der Typ nochmal genau?",Antwort: Fernando Pessoa,http://example.com/image/13
Rail,Fabrica de Nata,"Ich sags dir: OP Gaps sind in Lissabon echt overrated… Gönn dir die Dinger hier! Aber irgendwas ist hier wirklich komisch. Was fährt da bitte auf den Schienen?","Choice: Nata Gebäck (!), Züge, Teddys, Spielzeugautos",http://example.com/image/14
Lore,Line 28/…,"Also Elytra, sag ich dir ehrlich, vollkommen 1.21, übel outdated. Der heiße Shit sind gerade diese nicen gelben Bahnen hier. Das musst du unbedingt ausprobieren! Schick mir als Beweis dein Ticket.",Foto,http://example.com/image/15
Diorite Wall,Sao Vicente de Fora Kloster,"Diese geile Festung hab ich mir letztens auf Fiver gekauft. Was glaubst du, ist es die Bestellung für 100€, 300€ oder 500€? PS: Finde heraus wie viele Diorit Mauern zwischen den beiden hohen Türmen verbaut sind, dann weißt du welche. Denk dran: eine Mauer geht immer von Säule zu Säule…",Eingabe: 3 (Mauern),http://example.com/image/16
Vines,Bemalter Tunnel,"WOW! Ein random Urwald mitten in der Stadt? Bei der wievielten Stufe von unten kommt der Baum, an dem die Vines wachsen, auf der rechten Seite aus dem Boden?",Eingabe: (Stufe) 4,http://example.com/image/17
Banner,Largo do intendente Haus,"Hmmm, heftige Banner… aber das MUSS eigentlich die 100€ Bestellung sein, oder? Also komm… Banner? Ja okay, ist heftig, aber das dauert jetzt halt auch echt nicht so lang. Aber ich muss sagen, der Banner unten links ist schon wiiiiirklich geil, was steht da nochmal?",Antwort: FABRICA DE LOICA DE ANTONIO DO COSTA LAMEGO,http://example.com/image/18
Music Disc,Fiera da ladra,"Der Fiera da Ladra ist auch bekannt als ""Markt der Diebe"". Da ist es ja klar, dass jegliche Endermen hier ihre geklauten Items versuchen zu verticken. Vielleicht kommst du hier ja mit etwas Glück an eine der seltenen Music Discs? Wenn du eine schöne Schallpatte gefunden hast, Mach ein Bild!",Foto,http://example.com/image/19
Purpur Block,Tile Wall fiera da ladra,"Um sich vor den ganzen Diebstählen der Endermen zu schützen, haben die Villager vor geraumer Zeit hier eine geheime Botschaft auf den Purpur Blöcken platziert. Was besagt diese Botschaft auf deutsch?",Antwort: Das Leben ist schön,http://example.com/image/20
Peony,Casa Sao Miguel,"Oh ist habe ich irgendwie ein neues Update verpasst? So eine Art von Dorf Haus hab ich noch nie gesehen. Ist ja echt süß und es riecht so gut! Wie viele Rosen hängen hier bitte im Haus?",Eingabe: 16 (Rosen),http://example.com/image/21
Resin Brick Slab,Miradouro de Santa Luzia,"Ich weiß, der Timer läuft, aber hier könnte ich wirklich unendlich lange chillen. Diese View ist einfach heftig. Was für ein Gewässer ist das wohl, auf das du schaust? Es ist weder ein Warm Ocean, noch ein Cold Ocean, das würde ich definitiv erkennen…",Antwort: Tajo / Tejo,http://example.com/image/22
Bone Meal,Flower Wall Museum saint anthony,"Ein Villager-Bauer ist hier scheinbar komplett ausgerastet mit Bone Meal. Such dir einfach deine Lieblingsblume raus, mach ein Foto und dann kannst du dir mit dem Bone Meal deine eigene Blumenwand bauen.",Foto,http://example.com/image/3
Quartz Pillar,Arco da Rua augusta,"Ok… das MUSS jetzt aber wirklich die 500€ Bestellung sein. Holy moly!!! Jungs, wie habt ihr das gebaut, heftig!!! Zähl mal die Quartz-Säulen des Arcs, das sind sooo viele!",Eingabe: 6 (Säulen),http://example.com/image/4
Acacia Door,Tür Abel Pereira da Fonseca,"Dieses Gebäude fand ich schon immer suspekt, das ist safe eine versteckte XP-Farm. Kann uns aber auch egal sein. Schließlich brauchst du ja nur dein die Tür. Am besten du schaust dir die ganz rechte Tür an: Wie viele symmetrische, rechteckige einzelne, leere(!) Fensterchen hat diese Tür? PS: direkt rechts neben der Tür ist der Eingang zu Marvila 8, mein absoluter Geheimtipp in Lissabon, wenn es um einzigartige Locations geht. Schau definitiv mal rein!",Eingabe: 16 (Felder),http://example.com/image/5
Light Blue Glazed Terracotta,Palace de Marquesses,"Die stärksten PvPler unserer Zeit wurden hier verewigt. Leider hatten sie wohl doch zu wenig Pilz-Soups im Inventar und sind letztendlich doch zu früh von uns gegangen… Falls du dich fragst wieso mein Kopf da nicht hängt… naja, ich bin immer noch hier. Wie viele von ihnen sind dort eigentlich bei der blauen Wand innerhalb eines Bogens verewigt.",Eingabe: 15 (Köpfe),http://example.com/image/23
